Number of Estimators,# of Folds,Time to Train Boost,Time to Predict with Boost,Training Accuracy,Validation Accuracy
1,6,0.005437811,0.000885646,0.479497461,0.477540112
11,6,0.042935173,0.002298514,0.407642492,0.402230283
21,6,0.083123008,0.003846367,0.385376612,0.383671331
31,6,0.116767367,0.005355994,0.387850598,0.385490836
41,6,0.155872742,0.006904165,0.377445301,0.373300152
51,6,0.192658464,0.008293072,0.380137581,0.375301608
61,6,0.2314622,0.010013302,0.380137581,0.375301608
71,6,0.264365315,0.011333783,0.377445301,0.373300152
81,6,0.310768127,0.013094385,0.376898862,0.370757805
