Max Leaf,# of Folds,Time to Train Decision Tree,Time to Predict with Decision Tree,Training Accuracy,Validation Accuracy
100,6,0.015428344,0.00069654,0.648717268,0.557045062
400,6,0.022446712,0.000704964,0.810005359,0.564128646
700,6,0.025301933,0.000732025,0.895870976,0.572865457
1000,6,0.02636373,0.000706236,0.963544138,0.590141833
1300,6,0.028620203,0.000838995,1,0.589782515
1600,6,0.028856476,0.000800212,1,0.584328146
1900,6,0.031906207,0.00086693,1,0.58996466
2200,6,0.029489795,0.000808557,1,0.587234599
