Learning Rate,# of Folds,Time to Train Boost,Time to Predict with Boost,Training Accuracy,Validation Accuracy
0.6,6,0.197711905,0.009023786,0.222673432,0.211726103
0.7,6,0.196649353,0.008516471,0.200039655,0.197192278
0.8,6,0.196390152,0.008431633,0.210009653,0.205371324
0.9,6,0.200130343,0.008816163,0.232770668,0.23765705
1,6,0.202249487,0.008751671,0.377445301,0.373300152
1.1,6,0.193476518,0.008513371,0.38075711,0.379115428
1.2,6,0.191993276,0.008527239,0.316032528,0.313072552
1.3,6,0.197992841,0.008643866,0.327928882,0.328359768
1.4,6,0.195423166,0.008389751,0.335653242,0.330112768
