Max Depth,# of Folds,Time to Train Decision Tree,Time to Predict with Decision Tree,Training Accuracy,Validation Accuracy
1,6,0.003027678,0.000523806,0.479497461,0.477540112
4,6,0.0081985,0.000631134,0.560269686,0.543942028
7,6,0.013518174,0.0006543,0.63652826,0.546133001
10,6,0.018966436,0.000672658,0.762086798,0.558132025
13,6,0.02332902,0.000712832,0.88651613,0.5765017
16,6,0.025232832,0.000720024,0.961285267,0.583961286
19,6,0.027173877,0.000729362,0.991339497,0.589424169
22,6,0.027788997,0.000760476,0.997962099,0.59214549
