K Neighbors,# of Folds,Time to Train KNN,Time to Predict with KNN,Training Accuracy,Validation Accuracy
1,6,0.19799999396006265,0.3201666673024495,1.0,0.997470259278674
4,6,0.17700000603993735,0.4115000168482463,0.9981930250762918,0.998152874096775
7,6,0.16133340199788412,0.3829999367396037,0.998172947657766,0.998152874096775
10,6,0.1768333911895752,0.37499996026357013,0.99815287023924,0.998152874096775
13,6,0.23416666189829508,0.3539999723434448,0.99815287023924,0.998152874096775
16,6,0.1693333387374878,0.35133334000905353,0.99815287023924,0.998152874096775
19,6,0.1650000810623169,0.4299999475479126,0.99815287023924,0.998152874096775
22,6,0.17050000031789145,0.34949998060862225,0.99815287023924,0.998152874096775
