Max Depth,# of Folds,Time to Train Decision Tree,Time to Predict with Decision Tree,Training Accuracy,Validation Accuracy
1,6,0.22650007406870523,0.0,0.9992370551934501,0.9991969056732127
4,6,0.7473333676656088,0.007833361625671387,0.9997349770111909,0.9994579014729287
7,6,1.4661667346954346,0.0024999777475992837,0.9998474108451999,0.9993374292213152
10,6,1.8668333292007446,0.005166689554850261,0.9999558294857399,0.999237046965919
13,6,1.8538333574930828,0.0,1.0,0.9991968814852998
16,6,1.716166615486145,0.0024999777475992837,1.0,0.9992571151932478
19,6,1.7646666765213013,0.004999995231628418,1.0,0.9990964895549718
22,6,1.8104999860127766,0.00516664981842041,1.0,0.9991767987461558
