Number of Estimators,# of Folds,Time to Train Boost,Time to Predict with Boost,Training Accuracy,Validation Accuracy
1,6,0.20200002193450928,0.006000002225240071,0.9992370551934501,0.9991969056732127
11,6,2.0781667232513428,0.015166600545247396,0.9990724197810517,0.999016206969559
21,6,4.031333327293396,0.028333306312561035,0.9993816128003674,0.9991165940624213
31,6,5.87500003973643,0.044499993324279785,0.9995582942769353,0.9991969056720471
41,6,7.774666666984558,0.05466667811075846,0.9997349767209451,0.9993374388950816
51,6,11.750166694323221,0.08099993069966634,0.9998755189408998,0.9993374364760572
61,6,14.726333340009054,0.09900001684824626,0.9999518135182996,0.9993775971186275
71,6,15.796833316485086,0.10166664918263753,0.9999919688390957,0.9994378308259927
81,6,16.304166674613953,0.10699999332427979,1.0,0.9994177505047075
