Max Leaf,# of Folds,Time to Train Decision Tree,Time to Predict with Decision Tree,Training Accuracy,Validation Accuracy
100,6,1.5333333015441895,0.0026666720708211264,1.0,0.9991968863227658
400,6,1.5388333002726238,0.005166689554850261,1.0,0.9990563313314258
700,6,1.533666729927063,0.0025000174840291343,1.0,0.9991567208427297
1000,6,1.5285000403722127,0.0,1.0,0.9991567280998027
1300,6,1.559500018755595,0.0026666720708211264,1.0,0.9991366429410515
1600,6,1.5646666685740154,0.0026666720708211264,1.0,0.9990563434253822
1900,6,1.5543333292007446,0.0,1.0,0.999237042128453
2200,6,1.5330000321070354,0.0,1.0,0.9991567256807783
