Max Depth,# of Folds,Time to Train Decision Tree,Time to Predict with Decision Tree,Training Accuracy,Validation Accuracy
1,6,2.314666708,0.106666684,0.199720002,0.199267135
4,6,5.571333329,0.072333376,0.591179819,0.588600506
7,6,7.304999987,0.057166656,0.798193311,0.777867993
10,6,15.10916666,0.091166655,0.913966687,0.839433239
13,6,20.77183334,0.096333385,0.974986613,0.849633002
16,6,22.67816671,0.067499955,0.991353282,0.850700448
19,6,17.27833335,0.054666718,0.995379979,0.848167115
22,6,21.50883325,0.080833356,0.997033343,0.848700148
