Leaf Size,# of Folds,Time to Train KNN,Time to Predict with KNN,Training Accuracy,Validation Accuracy
2,6,0.44766660531361896,0.3568334182103475,0.9981970405599969,0.998152874096775
9,6,0.2808334032694499,0.3903333743413289,0.9981970405599969,0.998152874096775
16,6,0.2838333050409953,0.3671666781107585,0.9981970405599969,0.998152874096775
23,6,0.2056666612625122,0.3904999891916911,0.9981970405599969,0.998152874096775
30,6,0.21100000540415445,0.3565000295639038,0.9981970405599969,0.998152874096775
37,6,0.22899997234344482,0.3801666498184204,0.9981970405599969,0.998152874096775
44,6,0.1875,0.4321666161219279,0.9981970405599969,0.998152874096775
51,6,0.2368332544962565,0.3931666612625122,0.9981970405599969,0.998152874096775
