Depth of Hidden Layer,# of Folds,Time to Train NN,Time to Predict with NN,Training Accuracy,Validation Accuracy
1,6,5.772499958674113,0.020833333333333332,0.8319519847840547,0.8318276043392725
2,6,14.440166672070822,0.04000000158945719,0.9980083106006735,0.9979721826501945
3,6,21.858333269755047,0.06533340613047282,0.9980444518889596,0.997972172976428
4,6,22.407166639963787,0.054666717847188316,0.9980605119855875,0.9980725697430568
5,6,382.46499999364215,0.16416668891906738,0.998028391405246,0.9980524845843056
6,6,548.4184999465942,0.2003333568572998,0.9979521006976086,0.9978717520178074
7,6,167.3366666237513,0.12016661961873372,0.9979721770519548,0.9979721512052087
8,6,206.78233337402344,0.14599994818369547,0.9980765742106491,0.9980524966776793
