K Neighbors,# of Folds,Time to Train KNN,Time to Predict with KNN,Training Accuracy,Validation Accuracy
1,6,4.709833344,19.30616665,1,0.965599977
4,6,4.769833406,20.00116666,0.976693341,0.962133135
7,6,4.787999988,19.43350001,0.970879992,0.960799242
10,6,4.410833319,21.15733337,0.965773284,0.958266341
13,6,4.652666688,21.62599997,0.962126641,0.955499413
16,6,4.86133337,21.62066662,0.958879974,0.953399166
19,6,4.959999959,22.59949998,0.956333306,0.950565738
22,6,5.074500044,21.40483332,0.95400664,0.949232705
